step,information-uninformed_num,information-uninformed_coverage,information-informed_num,information-informed_coverage,information-disinformed_num,information-disinformed_coverage,information-informing_num,information-informing_coverage,information-disinforming_num,information-disinforming_coverage
368,70,0.07,790,0.79,136,0.136,4,0.004,,
369,69,0.069,792,0.792,136,0.136,3,0.003,,
370,68,0.068,793,0.793,136,0.136,3,0.003,,
371,68,0.068,792,0.792,136,0.136,4,0.004,,
372,68,0.068,793,0.793,136,0.136,3,0.003,,
373,68,0.068,793,0.793,136,0.136,3,0.003,,
374,68,0.068,795,0.795,136,0.136,1,0.001,,
375,67,0.067,792,0.792,136,0.136,5,0.005,,
376,67,0.067,793,0.793,136,0.136,4,0.004,,
377,67,0.067,794,0.794,136,0.136,3,0.003,,
378,66,0.066,795,0.795,136,0.136,3,0.003,,
379,66,0.066,792,0.792,136,0.136,6,0.006,,
380,63,0.063,799,0.799,136,0.136,2,0.002,,
381,63,0.063,797,0.797,136,0.136,4,0.004,,
382,63,0.063,799,0.799,136,0.136,2,0.002,,
383,63,0.063,799,0.799,136,0.136,2,0.002,,
384,62,0.062,801,0.801,136,0.136,1,0.001,,
385,61,0.061,801,0.801,136,0.136,2,0.002,,
386,61,0.061,801,0.801,136,0.136,2,0.002,,
387,60,0.06,800,0.8,136,0.136,4,0.004,,
388,59,0.059,799,0.799,136,0.136,6,0.006,,
389,57,0.057,804,0.804,136,0.136,3,0.003,,
390,57,0.057,803,0.803,136,0.136,4,0.004,,
391,56,0.056,805,0.805,136,0.136,3,0.003,,
392,55,0.055,806,0.806,136,0.136,3,0.003,,
393,54,0.054,806,0.806,136,0.136,4,0.004,,
394,54,0.054,810,0.81,135,0.135,1,0.001,,
395,54,0.054,808,0.808,135,0.135,3,0.003,,
396,54,0.054,811,0.811,135,0.135,,,,
397,54,0.054,808,0.808,135,0.135,3,0.003,,
398,53,0.053,809,0.809,135,0.135,3,0.003,,
399,52,0.052,811,0.811,135,0.135,2,0.002,,
400,52,0.052,810,0.81,135,0.135,3,0.003,,
401,51,0.051,814,0.814,135,0.135,,,,
402,51,0.051,809,0.809,135,0.135,5,0.005,,
403,49,0.049,811,0.811,135,0.135,5,0.005,,
404,49,0.049,815,0.815,134,0.134,2,0.002,,
405,47,0.047,817,0.817,134,0.134,2,0.002,,
406,47,0.047,814,0.814,134,0.134,5,0.005,,
407,47,0.047,816,0.816,134,0.134,3,0.003,,
408,47,0.047,817,0.817,133,0.133,3,0.003,,
409,46,0.046,818,0.818,133,0.133,3,0.003,,
410,46,0.046,820,0.82,131,0.131,3,0.003,,
411,46,0.046,818,0.818,131,0.131,5,0.005,,
412,44,0.044,821,0.821,131,0.131,4,0.004,,
413,44,0.044,822,0.822,131,0.131,3,0.003,,
414,44,0.044,824,0.824,131,0.131,1,0.001,,
415,44,0.044,819,0.819,131,0.131,6,0.006,,
416,43,0.043,821,0.821,131,0.131,5,0.005,,
417,41,0.041,827,0.827,131,0.131,1,0.001,,
418,41,0.041,826,0.826,131,0.131,2,0.002,,
419,40,0.04,826,0.826,131,0.131,3,0.003,,
420,39,0.039,826,0.826,131,0.131,4,0.004,,
421,39,0.039,828,0.828,131,0.131,2,0.002,,
422,39,0.039,827,0.827,131,0.131,3,0.003,,
423,37,0.037,830,0.83,131,0.131,2,0.002,,
424,37,0.037,832,0.832,130,0.13,1,0.001,,
425,36,0.036,832,0.832,130,0.13,2,0.002,,
426,34,0.034,834,0.834,130,0.13,2,0.002,,
427,34,0.034,831,0.831,130,0.13,5,0.005,,
428,34,0.034,835,0.835,130,0.13,1,0.001,,
429,34,0.034,832,0.832,130,0.13,4,0.004,,
430,32,0.032,835,0.835,129,0.129,4,0.004,,
431,31,0.031,838,0.838,129,0.129,2,0.002,,
432,31,0.031,840,0.84,129,0.129,,,,
433,31,0.031,839,0.839,129,0.129,1,0.001,,
434,31,0.031,838,0.838,129,0.129,2,0.002,,
435,31,0.031,838,0.838,129,0.129,2,0.002,,
436,31,0.031,839,0.839,129,0.129,1,0.001,,
437,30,0.03,838,0.838,129,0.129,3,0.003,,
438,29,0.029,839,0.839,129,0.129,3,0.003,,
439,27,0.027,841,0.841,129,0.129,3,0.003,,
440,26,0.026,845,0.845,129,0.129,,,,
441,26,0.026,842,0.842,129,0.129,3,0.003,,
442,25,0.025,845,0.845,128,0.128,2,0.002,,
443,25,0.025,845,0.845,128,0.128,2,0.002,,
444,23,0.023,849,0.849,128,0.128,,,,
445,23,0.023,846,0.846,128,0.128,3,0.003,,
446,22,0.022,848,0.848,128,0.128,2,0.002,,
447,21,0.021,848,0.848,128,0.128,3,0.003,,
448,20,0.02,850,0.85,128,0.128,2,0.002,,
449,20,0.02,852,0.852,128,0.128,,,,
450,20,0.02,852,0.852,128,0.128,,,,
451,20,0.02,849,0.849,128,0.128,3,0.003,,
452,20,0.02,851,0.851,128,0.128,1,0.001,,
453,20,0.02,852,0.852,128,0.128,,,,
454,20,0.02,851,0.851,128,0.128,1,0.001,,
455,20,0.02,851,0.851,128,0.128,1,0.001,,
456,20,0.02,850,0.85,128,0.128,2,0.002,,
